"id","parent_id","code","name","enabled","dest"
620,595,"29.035.99","Other insulating materials",1,
622,596,"29.040.01","Insulating fluids in general",1,
623,596,"29.040.10","Insulating oils",1,
624,596,"29.040.20","Insulating gases",1,
625,596,"29.040.99","Other insulating fluids",1,
629,599,"29.060.01","Electrical wires and cables in general",1,
630,599,"29.060.10","Wires",1,"Including electric rods, busbars, etc."
631,599,"29.060.20","Cables",1,
633,600,"29.080.01","Electrical insulation in general",1,
634,600,"29.080.10","Insulators",1,"Including fittings and other components for insulators"
635,600,"29.080.20","Bushings",1,
636,600,"29.080.30","Insulation systems",1,
637,600,"29.080.99","Other standards related to insulation",1,
639,601,"29.100.01","Components for electrical equipment in general",1,
640,601,"29.100.10","Magnetic components",1,
641,601,"29.100.20","Electric and electromechanical components",1,
642,601,"29.100.99","Other components for electrical equipment",1,
644,602,"29.120.01","Electrical accessories in general",1,
645,602,"29.120.10","Conduits for electrical purposes",1,
646,602,"29.120.20","Connecting devices",1,
647,602,"29.120.30","Plugs, socket-outlets, couplers",1,
648,602,"29.120.40","Switches",1,
649,602,"29.120.50","Fuses and other overcurrent protection devices",1,
650,602,"29.120.70","Relays",1,
651,602,"29.120.99","Other electrical accessories",1,
653,603,"29.140.01","Lamps in general",1,
654,603,"29.140.10","Lamp caps and holders",1,
655,603,"29.140.20","Incandescent lamps",1,
656,603,"29.140.30","Fluorescent lamps. Discharge lamps",1,
657,603,"29.140.40","Luminaires",1,
658,603,"29.140.50","Lighting installation systems",1,"Including supply track systems"
659,603,"29.140.99","Other standards related to lamps",1,
661,604,"29.160.01","Rotating machinery in general",1,
662,604,"29.160.10","Components for rotating machines",1,
663,604,"29.160.20","Generators",1,
664,604,"29.160.30","Motors",1,
665,604,"29.160.40","Generating sets",1,
666,604,"29.160.99","Other standards related to rotating machinery",1,
670,607,"29.220.01","Galvanic cells and batteries in general",1,
671,607,"29.220.10","Primary cells and batteries",1,
672,607,"29.220.20","Acid secondary cells and batteries",1,
673,607,"29.220.30","Alkaline secondary cells and batteries",1,
674,607,"29.220.99","Other cells and batteries",1,
676,608,"29.240.01","Power transmission and distribution networks in general",1,"Powerline telecommunications, see 33.040.60"
677,608,"29.240.10","Substations. Surge arresters",1,
678,608,"29.240.20","Power transmission and distribution lines",1,
679,608,"29.240.30","Control equipment for electric power systems",1,"Measuring instruments for electrical quantities, see 17.220.20"
680,608,"29.240.99","Other equipment related to power transmission and distribution networks",1,"Including capacitors for power networks"
682,609,"29.260.01","Electrical equipment for working in special conditions in general",1,
683,609,"29.260.10","Electrical installations for outdoor use",1,
684,609,"29.260.20","Electrical apparatus for explosive atmospheres",1,
685,609,"29.260.99","Other electrical equipment for working in special conditions",1,
687,13,"31.020","Electronic components in general",1,"Magnetic components, see 29.100.10"
688,13,"31.040","Resistors",1,
689,13,"31.060","Capacitors",1,
690,13,"31.080","Semiconductor devices",1,"Semiconducting materials, see 29.045"
691,13,"31.100","Electronic tubes",1,
692,13,"31.120","Electronic display devices",1,"Including liquid crystal displays"
693,13,"31.140","Piezoelectric devices",1,
694,13,"31.160","Electric filters",1,
695,13,"31.180","Printed circuits and boards",1,
696,13,"31.190","Electronic component assemblies",1,"Including preassembled modules"
697,13,"31.200","Integrated circuits. Microelectronics",1,"Including electronic chips, logical and analogue microstructures 
Microprocessors, see 35.160"
698,13,"31.220","Electromechanical components for electronic and telecommunications equipment",1,
699,13,"31.240","Mechanical structures for electronic equipment",1,
700,13,"31.260","Optoelectronics. Laser equipment",1,"Including photoelectric tubes and cells"
703,688,"31.040.01","Resistors in general",1,
704,688,"31.040.10","Fixed resistors",1,
705,688,"31.040.20","Potentiometers, variable resistors",1,
706,688,"31.040.30","Thermistors",1,
707,688,"31.040.99","Other resistors",1,
709,689,"31.060.01","Capacitors in general",1,
710,689,"31.060.10","Fixed capacitors",1,
711,689,"31.060.20","Ceramic and mica capacitors",1,
712,689,"31.060.30","Paper and plastics capacitors",1,
713,689,"31.060.40","Tantalum electrolytic capacitors",1,
714,689,"31.060.50","Aluminium electrolytic capacitors",1,
715,689,"31.060.60","Variable capacitors",1,
716,689,"31.060.70","Power capacitors",1,"Capacitors for power networks, see 29.240.99"
717,689,"31.060.99","Other capacitors",1,
719,690,"31.080.01","Semiconductor devices in general",1,
720,690,"31.080.10","Diodes",1,
721,690,"31.080.20","Thyristors",1,
722,690,"31.080.30","Transistors",1,
723,690,"31.080.99","Other semiconductor devices",1,
732,698,"31.220.01","Electromechanical components in general",1,
733,698,"31.220.10","Plug-and-socket devices. Connectors",1,
734,698,"31.220.20","Switches",1,
735,698,"31.220.99","Other electromechanical components",1,
738,14,"33.020","Telecommunications in general",1,"Including infrastructure"
739,14,"33.030","Telecommunication services. Applications",1,"Including supplementary services, service aspects and associated legal traceability aspects"
740,14,"33.040","Telecommunication systems",1,"Including network (system) aspects"
741,14,"33.050","Telecommunication terminal equipment",1,
742,14,"33.060","Radiocommunications",1,
743,14,"33.080","Integrated Services Digital Network (ISDN)",1,
744,14,"33.100","Electromagnetic compatibility (EMC) ",1,"Including radio interference"
745,14,"33.120","Components and accessories for telecommunications equipment",1,"Plug-and-socket devices, connectors, see 31.220.10 
Switches, see 31.220.20"
746,14,"33.140","Special measuring equipment for use in telecommunications",1,
747,14,"33.160","Audio, video and audiovisual engineering",1,
748,14,"33.170","Television and radio broadcasting",1,
749,14,"33.180","Fibre optic communications",1,
750,14,"33.200","Telecontrol. Telemetering",1,"Including Supervising, Control and Data Acquisition System (SCADA)"
754,740,"33.040.01","Telecommunication systems in general",1,
755,740,"33.040.20","Transmission systems",1,"Including synchronization, cable systems, integrated cabling, pathways and multiplexing"
756,740,"33.040.30","Switching and signalling systems",1,"Including telecommunication call charging and billing aspects"
757,740,"33.040.35","Telephone networks",1,"Including Public Switched Telephone Networks (PSTN), Private Telecommunication Networks (PTN) and Private Integrated Service Networks (PISN)"
758,740,"33.040.40","Data communication networks",1,"Including Packet Switched Public Data Networks (PSPDN) and Ethernet 
ISDN, see 33.080 
OSI local, wide and metropolitan area networks, see 35.110 
Modems, see 35.180"
759,740,"33.040.50","Lines, connections and circuits",1,"Including access networks and network elements"
760,740,"33.040.99","Other equipment for telecommunication systems",1,
762,741,"33.050.01","Telecommunication terminal equipment in general",1,
763,741,"33.050.10","Telephone equipment",1,
764,741,"33.050.20","Paging equipment",1,
765,741,"33.050.30","Equipment for telex, teletext, telefax",1,"Modems, see 35.180"
766,741,"33.050.99","Other telecommunication terminal equipment",1,
768,742,"33.060.01","Radiocommunications in general",1,
769,742,"33.060.20","Receiving and transmitting equipment",1,
770,742,"33.060.30","Radio relay and fixed satellite communications systems",1,
771,742,"33.060.40","Cabled distribution systems",1,
777,742,"33.060.99","Other equipment for radiocommunications",1,
780,744,"33.100.01","Electromagnetic compatibility in general",1,
781,744,"33.100.10","Emission",1,
782,744,"33.100.20","Immunity",1,
783,744,"33.100.99","Other aspects related to EMC",1,
785,745,"33.120.01","Components and accessories in general",1,
786,745,"33.120.10","Coaxial cables. Waveguides",1,
787,745,"33.120.20","Wires and symmetrical cables",1,
788,745,"33.120.30","RF connectors",1,
789,745,"33.120.40","Aerials",1,
790,745,"33.120.99","Other components and accessories",1,
793,747,"33.160.01","Audio, video and audiovisual systems in general",1,"Stage and studio equipment, see 97.200.10"
794,747,"33.160.10","Amplifiers",1,
795,747,"33.160.20","Radio receivers",1,
796,747,"33.160.25","Television receivers",1,
