"id","code","name","name_cn","parent_id","enabled","dest"
1436,"83.060","Rubber","橡胶",34,1,"Raw rubber, see 83.040.10"
1437,"83.080","Plastics","塑料",34,1,
1438,"83.100","Cellular materials","泡沫材料",34,1,
1439,"83.120","Reinforced plastics","增强塑料",34,1,"Materials for the reinforcement of plastics, see 59.100"
1440,"83.140","Rubber and plastics products","橡胶和塑料制品",34,1,"Transmission belts, see 21.220.10 
Conveyor belts, see 53.040.20 
Rubber and plastics coated fabrics, see 59.080.40 
Footwear, see 61.060 
Tyres, see 83.160"
1441,"83.160","Tyres","轮胎",34,1,"Including tubes and valves"
1442,"83.180","Adhesives","粘合剂和胶粘产品",34,1,"Including adhesive tapes 
Adhesive tapes for electrical insulation purposes, see 29.035.20"
1443,"83.200","Equipment for the rubber and plastics industries","橡胶和塑料工业设备",34,1,
1446,"83.040.01","Raw materials for rubber and plastics in general","橡胶原料和塑料原料综合",1435,1,
1447,"83.040.10","Latex and raw rubber","胶乳和生橡胶",1435,1,
1448,"83.040.20","Rubber compounding ingredients","橡胶合成配料",1435,1,"Including carbon black, kaolin clay, etc."
1449,"83.040.30","Auxiliary materials and additives for plastics","塑料的辅料和添加剂",1435,1,"Including fillers, extenders, hardeners, pigments, plasticizers, etc."
1452,"83.080.01","Plastics in general","塑料综合",1437,1,
1453,"83.080.10","Thermosetting materials","热固性塑料",1437,1,"Including ebonite 
Silicones, see 71.100.55"
1454,"83.080.20","Thermoplastic materials","热塑性塑料",1437,1,
1458,"83.140.01","Rubber and plastics products in general","橡胶和塑料制品综合",1440,1,
1459,"83.140.10","Films and sheets","薄膜和薄板",1440,1,"Including plates"
1460,"83.140.20","Laminated sheets","层压薄板",1440,1,
1461,"83.140.30","Plastics pipes and fittings for non fluid use","塑料管、配件和阀门",1440,1,"Plastics pipes, fittings and valves for general use, see 23.040.20 
Plastics pipes, fittings and valves for general use, see 23.040.45 
Plastics pipes, fittings and valves for general use, see 23.060"
1462,"83.140.40","Hoses","软管",1440,1,"Hoses for general use, see 23.040.70"
1463,"83.140.50","Seals","密封件",1440,1,"Seals for general use, see 21.140 
Seals for general use, see 23.040.80"
1464,"83.140.99","Other rubber and plastics products","其他橡胶和塑料制品",1440,1,
1466,"83.160.01","Tyres in general","轮胎综合",1441,1,
1467,"83.160.10","Road vehicle tyres","道路车辆轮胎",1441,1,"Including cycle tyres, and tyre retreading and repair processes"
1468,"83.160.20","Aircraft tyres","飞机轮胎",1441,1,
1469,"83.160.30","Tyres for agricultural machinery","农业机械用轮胎",1441,1,
1470,"83.160.99","Other tyres","其他轮胎",1441,1,
1473,"85.020","Paper production processes","纸生产工艺",35,1,"Including paper recycling"
1474,"85.040","Pulps","纸浆",35,1,
1475,"85.060","Paper and board","纸和纸板",35,1,
1476,"85.080","Paper products","纸制品",35,1,"Including paper based stationery 
Other forms of stationery (non-paper based), see 35.260 
Other forms of stationery (non-paper based), see 97.180"
1477,"85.100","Equipment for the paper industry","造纸工业设备",35,1,
1483,"87.020","Paint coating processes","涂覆工艺",36,1,"Surface preparation for painting, see 25.220.10"
1484,"87.040","Paints and varnishes","涂料和清漆",36,1,"Including coating powders, paint coatings and protective paint systems"
1485,"87.060","Paint ingredients","涂料配料",36,1,
1486,"87.080","Inks. Printing inks","墨水、油墨",36,1,"Materials for graphic technology, see 37.100.20"
1487,"87.100","Paint coating equipment","涂料涂覆设备",36,1,
1491,"87.060.01","Paint ingredients in general","涂料配料综合",1485,1,
1492,"87.060.10","Pigments and extenders","颜料和填充剂",1485,1,
1493,"87.060.20","Binders","涂料粘合剂",1485,1,
1494,"87.060.30","Solvents","溶剂",1485,1,
1495,"87.060.99","Other paint ingredients","其他涂料配料",1485,1,
1498,"91.010","Construction industry","建筑工业",37,1,
1499,"91.020","Physical planning. Town planning","自然规划、城市规划",37,1,
1500,"91.040","Buildings","建筑物",37,1,
1501,"91.060","Elements of buildings","建筑构件",37,1,"Foundations, see 93.020"
1502,"91.080","Structures of buildings","建筑物结构",37,1,"Including design, loading on and calculation of structures"
1503,"91.090","External structures","外围建筑物",37,1,"Including fences, gates, arches, sheds, garages, etc."
1504,"91.100","Construction materials","建筑材料",37,1,"Including sustainability of construction materials 
Iron and steel products, see 77.140 
Products of non-ferrous metals, see 77.150 
Sawn timber, see 79.040 
Wood-based panels, see 79.060 
Glass, see 81.040.20 
Plastics products, see 83.140"
1505,"91.120","Protection of and in buildings","建筑物的防护",37,1,"Emergencies in buildings, see 13.200 
Fire protection, see 13.220.20 
Fire resistance of building materials and elements, see 13.220.50 
Alarm and warning systems, see 13.320"
1506,"91.140","Installations in buildings","建筑物中的设施",37,1,"Burners and boilers for industrial purposes, see 27.060 
Heat pumps, see 27.080"
1507,"91.160","Lighting","照明",37,1,"Including oil and gas lamps 
Theatre, stage and studio lighting equipment, see 97.200.10"
1508,"91.180","Interior finishing","内部装修",37,1,"Paint coating processes, see 87.020"
1509,"91.190","Building accessories","建筑附件",37,1,"Including locks, buzzers, bells, bolts, door and window hardware, etc."
1510,"91.200","Construction technology","施工技术",37,1,"Including measuring methods, construction sites, demolition of structures, etc."
1511,"91.220","Construction equipment","施工设备",37,1,"Including scaffolding, mixers for concrete and mortar, etc. 
Earth-moving machinery, see 53.100 
Lifting equipment, see 53.020"
1513,"91.010.01","Construction industry in general","建筑工业综合",1498,1,"Building information modelling, see 35.240.67"
1514,"91.010.10","Legal aspects","法律方面",1498,1,
1515,"91.010.20","Contractual aspects","合同方面",1498,1,"Including construction procurement"
1516,"91.010.30","Technical aspects","技术方面",1498,1,"Including tolerances, modular coordination, etc. 
Construction drawings, see 01.100.30"
1517,"91.010.99","Other aspects","其他方面",1498,1,
1520,"91.040.01","Buildings in general","建筑物综合",1500,1,"Including building environment design and service life planning 
Building materials, see 91.100 
Cultural property and heritage, see 97.195"
1521,"91.040.10","Public buildings","公共建筑物",1500,1,"Including ecclesiastical buildings and hospitals"
1522,"91.040.20","Buildings for commerce and industry","商业和工业建筑物",1500,1,
1523,"91.040.30","Residential buildings","住宅建筑物",1500,1,
1524,"91.040.99","Other buildings","其他建筑物",1500,1,
1526,"91.060.01","Elements of buildings in general","建筑构件综合",1501,1,
1527,"91.060.10","Walls. Partitions. Facades","墙、隔墙、房屋正面",1501,1,
1528,"91.060.20","Roofs","屋顶",1501,1,"Including related elements (gutters, etc.)"
1529,"91.060.30","Ceilings. Floors. Stairs","天花板、地板、楼梯",1501,1,"Including screeds, ramps, etc."
1530,"91.060.40","Chimneys, shafts, ducts","烟囱、竖井、通风道",1501,1,"Including flues and flue pipes"
