"id","code","num","digits","name","name_cn","is_complementary","is_funds_code","is_bond_market_unit","enabled","dest"
380,"XUA","965",,"ADB Unit of Account","非洲开发银行记帐单位",0,0,0,1,
381,"XXX","999",,"No currency","没有货币的交换",0,0,0,1,
382,"YER","886","2","Yemeni rial","也门里亚尔",0,0,0,1,
383,"ZAR","710","2","South African rand","南非兰特",0,0,0,1,
384,"ZMW","967","2","Zambian kwacha","赞比亚克瓦查",0,0,0,1,
385,"ZWL","932","2","Zimbabwean dollar A/10","津巴布韦美元 A/10",0,0,0,1,
386,"CHE","947","2","WIR Euro","WIR欧元",1,0,0,1,
387,"CHW","948","2","WIR Franc","WIR法郎",1,0,0,1,
388,"BOV","984","2","Bolivian Mvdol ","玻利维亚Mvdol",0,1,0,1,
389,"CLF","990","4","Unidad de Fomento ","UF值",0,1,0,1,
390,"COU","970","2","Unidad de Valor Real (UVR)","哥伦比亚实际单位",0,1,0,1,
391,"MXV","979","2","Mexican Unidad de Inversion (UDI)","墨西哥发展单位",0,1,0,1,
392,"USN","997","2","United States dollar (next day) ","美元（次日）",0,1,0,1,
393,"UYI","940","0","Uruguay Peso en Unidades Indexadas (URUIURUI) ","乌拉圭比索资金索引",0,1,0,1,
395,"XBA","955",,"European Composite Unit (EURCO)","欧洲货币合成单位",0,0,1,1,
396,"XBB","956",,"European Monetary Unit (E.M.U.-6)","欧洲金融单位",0,0,1,1,
397,"XBC","957",,"European Unit of Account 9 (E.U.A.-9)","欧洲账户9单位",0,0,1,1,
398,"XBD","958",,"European Unit of Account 17 (E.U.A.-17)","欧洲账户17单位",0,0,1,1,
